Title,Developer,Publisher,First released,JP,EU,NA
ATV Offroad Fury 2,Rainbow Studios,Sony Computer Entertainment,2002-11-09NA,,✔,✔
ATV Offroad Fury 3,Climax Group,"Sony Computer EntertainmentNA, SouthPeak GamesEU",2004-11-02NA,,✔,✔
ATV Offroad Fury 4,Climax Group,Sony Computer Entertainment,2006-10-31NA,,✔,✔
ATV Quad Power Racing 2,Climax Brighton,AKA Acclaim,2003-01-13NA,,✔,✔
Austin Mini Racing,Data Design Interactive,Metro3D Europe,2006-03-17EU,,✔,
Australian Idol Sing,Milestone,Black Bean Games,2006-09-19AU,,✔AU,
"Auto Modellista
•Auto Modellista: U.S.-TunedJP",Capcom,Capcom,2002-08-22JP,"✔JP, KO",✔,✔
Autobahn Raser IV,Davilex,Davilex,2002-12-31EU,,✔,
Autobahn Raser: Das Spiel zum Film,Davilex,Davilex,2004-04-29EU,,✔,
"Avatar: The Last Airbender
•Avatar: The Legend of AangPAL",THQ Studio Australia,THQ,2006-10-10NA,,✔,✔
"Avatar: The Last Airbender – The Burning Earth
•Avatar: The Legend of Aang – The Burning EarthPAL",THQ Studio Australia,THQ,2007-10-16NA,,✔,✔
"Avatar: The Last Airbender – Into the Inferno
•Avatar – The Legend of Aang: Into the InfernoPAL",THQ Studio Australia,THQ,2008-10-13NA,,✔,✔
Ayakashibito,Dimple Entertainment,Dimple Entertainment,2006-08-31JP,✔,,
"Azumi
•Simple 2000 Ultimate Series Vol. 32: AzumiJP",Gargoyle Mechanics,"ESP Software, D3 Publisher",2005-03-24JP,✔,,
Azur & Asmar,Wizarbox,Emme,2007-04-26PAL,,✔,
B-Boy,FreeStyleGames,"Evolved GamesNA, Sony Computer EntertainmentPAL",2006-09-29EU,,✔
Babe,Aqua Pacific,Blast! Entertainment Ltd,2006-10-13PAL,,✔,
Backyard Baseball,Humongous Entertainment,Atari,2004-03-23NA,,,✔
Backyard Baseball '09,Humongous Entertainment,Atari,2008-06-10NA,,,✔
Backyard Baseball '10,Farsight Studios,Atari,2009-04-28NA,,,✔
